seed,ladder_step,lam,warm_start,source_lam,K_re,K_im,abs_K,std_err,final_loss,ess_n,K_mehler_re,K_mehler_im,epochs_used,N,T,m,omega,eps,rank,x_i,x_f,time_s,weight_file,xf_from_filename,source_csv
42,1,0.1,Y,0,1.9678809089538754e-01,4.1739275714040169e-01,4.6145667882426150e-01,1.194157e-05,6.092772e-05,0.999935,1.4898570271996622e-01,4.0858562849890068e-01,9000,16,1,1.0,1,0.01,16,0,2.5,170.7,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf2.5.pt,2.5,warm_start_scan_xi0_xf2.5.csv
45,0,0,N,,1.0802811379471763e-01,4.1619231353832059e-01,4.2998385460203525e-01,3.269357e-09,6.174384e-12,1.000000,1.4898570271996622e-01,4.0858562849890068e-01,15000,16,1,1.0,1,0.01,16,0,2.5,285.9,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf2.5.pt,2.5,warm_start_scan_xi0_xf2.5.csv
45,1,0.1,Y,0,1.8082888341580880e-01,4.1588261829975820e-01,4.5349469377410639e-01,3.001400e-05,3.646243e-04,0.999587,1.4898570271996622e-01,4.0858562849890068e-01,9000,16,1,1.0,1,0.01,16,0,2.5,168.6,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf2.5.pt,2.5,warm_start_scan_xi0_xf2.5.csv
42,0,0,N,,8.0507467851542253e-02,-4.2147146525644108e-01,4.2909165501705870e-01,4.883379e-09,1.838139e-11,1.000000,-3.1163598094273853e-02,4.3378310892037097e-01,15000,16,1,1.0,1,0.01,16,0,2.75,284.8,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf2.75.pt,2.75,warm_start_scan_xi0_xf2.75.csv
42,1,0.1,Y,0,1.5508770507426441e-02,-4.5127392324790561e-01,4.5154033680969036e-01,3.514941e-05,4.493765e-04,0.999466,-3.1163598094273853e-02,4.3378310892037097e-01,9000,16,1,1.0,1,0.01,16,0,2.75,170.9,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf2.75.pt,2.75,warm_start_scan_xi0_xf2.75.csv
45,0,0,N,,-7.9867017250576183e-02,4.2149431016092920e-01,4.2899439849786081e-01,3.389788e-09,6.124871e-12,1.000000,-3.1163598094273853e-02,4.3378310892037097e-01,15000,16,1,1.0,1,0.01,16,0,2.75,284.1,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf2.75.pt,2.75,warm_start_scan_xi0_xf2.75.csv
45,1,0.1,Y,0,2.4506386035675589e-02,4.5570461238629895e-01,4.5636307552942595e-01,3.461272e-05,4.627810e-04,0.999456,-3.1163598094273853e-02,4.3378310892037097e-01,9000,16,1,1.0,1,0.01,16,0,2.75,168.8,warm_start_weights_vary_end_points/seed45_step01_lam0.1000_xi0_xf2.75.pt,2.75,warm_start_scan_xi0_xf2.75.csv
42,0,0,N,,2.6618589237099832e-01,-3.3505258744178817e-01,4.2791957848266515e-01,4.576395e-09,1.033923e-11,1.000000,-2.2106497125442681e-01,3.7452534482339550e-01,15000,16,1,1.0,1,0.01,16,0,3,280.4,warm_start_weights_vary_end_points/seed42_step00_lam0.0000_xi0_xf3.0.pt,3.0,warm_start_scan_xi0_xf3.0.csv
42,1,0.1,Y,0,1.5068342173120230e-01,-4.4601422152411702e-01,4.7078039401231175e-01,1.483589e-05,9.194521e-05,0.999905,-2.2106497125442681e-01,3.7452534482339550e-01,9000,16,1,1.0,1,0.01,16,0,3,169.2,warm_start_weights_vary_end_points/seed42_step01_lam0.1000_xi0_xf3.0.pt,3.0,warm_start_scan_xi0_xf3.0.csv
45,0,0,N,,-2.6606875030198912e-01,3.3511122969650559e-01,4.2789264559696089e-01,3.695827e-09,8.310385e-12,1.000000,-2.2106497125442681e-01,3.7452534482339550e-01,15000,16,1,1.0,1,0.01,16,0,3,282.5,warm_start_weights_vary_end_points/seed45_step00_lam0.0000_xi0_xf3.0.pt,3.0,warm_start_scan_xi0_xf3.0.csv
